parts_unblocked,manufacturer,series,datasheet_url,example_parts
2,Shenzhen Ruilongyuan Electronics Co.Ltd,,https://www.ruilon.com/openpdf/pdf/web/viewer.html?file=https://www.ruilon.com/Uploads/pdf/2rd-8%20series.pdf,"2R600TD-8, 2R800TD-8"
2,YAGEO,,https://www.yageo.com/upload/media/product/products/datasheet/cpc/gdt/3R-8_1.pdf,"3RP600L-8/B, 3RP800L-8/B"
2,Bourns Inc.,,https://www.bourns.com/docs/product-datasheets/gdt25h.pdf,"GDT25H-75-S1-RP, GDT25H-75-S1-BK"
2,Shenzhen Ruilongyuan Electronics Co.Ltd,,https://www.ruilon.com.cn/Uploads/pdf/2r-8th%20series.pdf,"2R800LB-8TH, 2R1000L-8TH"
2,TDK,,https://www.tdk-electronics.tdk.com/inf/100/ds/A71-H08X-X2140xxxx.pdf,"B88069X2140S102, B88069X2140T502"
2,TDK,,https://product.tdk.cn/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/100/ds/a81-h08x-x1543xxxx.pdf,"B88069X1543S102, B88069X1543T502"
2,TDK,,https://product.tdk.cn/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/100/ds/ef1000x-x6451xxxx.pdf,"B88069X6451T502, B88069X6451S102"
2,YAGEO,,https://yageogroup.com/content/datasheet/asset/file/2R-8x8_1,"2RL1000L-8/B, 2RL1000L-8/TR"
2,YAGEO,,https://www.yageo.com/upload/media/product/productsearch/datasheet/cpc/gdt/2R-8x6(T6)_1.pdf,"2RM1000L-8-T6/B, 2RM1000L-8-T6/TR"
1,Bourns Inc.,,https://www.bourns.com/docs/Product-Datasheets/2053.pdf,2053-60-SM-RPLF
1,Littelfuse Inc.,,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/970/GTCx35-zzzM-R05_Series_Spec.pdf,GTCS28-601M-R05-2
1,Littelfuse Inc.,,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7160/littelfuse_gdt_gtca38_231m_r10_ft_product_specification.pdf.pdf,GTCS26-601M-R05-2
1,TDK,,https://www.tdk-electronics.tdk.com/inf/100/ds/EN600XSMD-X8311T702.pdf,B88069X8311T702
1,TDK,,https://www.tdk-electronics.tdk.com/inf/100/ds/EC600XG-X0790T502.pdf,B88069X0790T502
1,TDK,,https://www.tdk-electronics.tdk.com/inf/100/ds/M50-A600XSMD-X3351T902.pdf,B88069X3351T902
1,TDK,,https://www.tdk-electronics.tdk.com/inf/100/ds/M50-A600X-X6191T103.pdf,B88069X6191T103
1,TDK,,https://product.tdk.cn/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/100/ds/s5b-a600xhc-x6563t902.pdf,B88069X6563T902
1,YAGEO,,https://www.yageo.com/upload/media/product/app/datasheet/cpc/gdt/3r-5-s.pdf,3RL600M-5-S
1,Bourns Inc.,,https://www.bourns.com/docs/Product-Datasheets/GDT25.pdf,GDT25-60-S1-RP
1,Bourns Inc.,,https://www.bourns.com/docs/product-datasheets/gdt25.pdf,GDT25-60-S1-BK
1,Bourns Inc.,,https://www.bourns.com/docs/Product-Datasheets/2046.pdf,2046-60-C2LF
1,Littelfuse Inc.,,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7082/Littelfuse_GDT_Catalog_Datasheet.pdf.pdf,GTCS36-601M-R10-2
1,TDK,,https://product.tdk.cn/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/100/ds/n80-a600xsmd-x7971t602.pdf,B88069X7971T602
1,Shenzhen Ruilongyuan Electronics Co.Ltd,,https://www.ruilon.com.cn/Uploads/pdf/3rd-8s%20series.pdf,3R600SD-8S
1,TDK,,https://www.tdk-electronics.tdk.com/inf/100/ds/A81-A600XG-X2990T502.pdf,B88069X2990T502
1,TDK,,https://product.tdk.com/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/a61-a600xhc-x5843xxxx.pdf,B88069X5843S102
1,TDK,,https://product.tdk.com/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/100/ds/a81-a600x-x2880xxxx.pdf,B88069X2880T502
1,TDK,,https://www.tdk-electronics.tdk.com/inf/100/ds/V12-A600X-X4450C101.pdf,B88069X4450C101
1,TDK,,https://www.tdk-electronics.tdk.com/inf/100/ds/A81-A600X-X2880S102.pdf,B88069X2880S102
1,TDK,,https://product.tdk.cn/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/a61-a600xhc-x5843xxxx.pdf,B88069X5843T802
1,YAGEO,,https://yageogroup.com/content/datasheet/asset/file/2R-8x6-D1HT_1,2RP600L-8-D1HT/B
1,TDK,,https://product.tdk.cn/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/100/ds/ehv63-h08-x3563xxxx.pdf,B88069X3563S102
1,TDK,,https://product.tdk.cn/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/100/ds/ehv63-h08t7-x3493a802.pdf,B88069X3493A802
1,Bourns Inc.,,https://www.bourns.com/data/global/pdfs/2055.pdf,2055-80-SM-RPLF
1,TDK,,https://www.tdk-electronics.tdk.com/inf/100/ds/EF800X-X2641xxxx.pdf,B88069X2641T502
1,Thinking Electronic,,https://www.thinking.com.tw/upload/productdesigntools2/files/en-Gas%20Discharge%20Tube-GRC2R%20Series.pdf,GRC2R800YR
1,TDK,,https://www.tdk-electronics.tdk.com/inf/100/ds/N81-A800X-X5041S102.pdf,B88069X5041S102
1,TDK,,https://product.tdk.com/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/em800xhc-x6063xxxx.pdf,B88069X6063S102
1,TDK,,https://product.tdk.cn/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/em800xhc-x6063xxxx.pdf,B88069X6063T502
1,TDK,,https://product.tdk.cn/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/100/ds/ef800xb3-x2113b352.pdf,B88069X2113B352
1,TDK,,https://product.tdk.com/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/a61-h08xhc-x6173xxxx.pdf,B88069X6173S102
1,TDK,,https://product.tdk.cn/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/a61-h08xhc-x6173xxxx.pdf,B88069X6173T802
1,TDK,,https://www.tdk-electronics.tdk.com/inf/100/ds/V12-H08X-X9240C101.pdf?ref_disty=digikey,B88069X9240C101
1,Bourns Inc.,,https://www.bourns.com/docs/Product-Datasheets/2093.pdf,2093-100-SM-RPLF
1,Shenzhen Ruilongyuan Electronics Co.Ltd,,https://www.ruilon.com.cn/Uploads/pdf/2r-5(1000_5000v).pdf,2R1000T-5
1,Shenzhen Ruilongyuan Electronics Co.Ltd,,https://www.ruilon.com.cn/Uploads/pdf/2r-8(1000_5000v).pdf,2R1000T-8
1,TDK,,https://www.tdk-electronics.tdk.com/inf/100/ds/A71-H10X-X3820xxxx.pdf,B88069X3820S102
1,TDK,,https://www.tdk-electronics.tdk.com/inf/100/ds/A71-H10XG-X3880T502.pdf,B88069X3880T502
1,TDK,,https://product.tdk.cn/system/files/dam/doc/product/protection/voltage/arrester/data_sheet/100/ds/a71-h10x-x3820xxxx.pdf,B88069X3820T502
