parts_unblocked,manufacturer,series,datasheet_url,example_parts
3,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL222R510.pdf,"SL222R510, SL222R510A, SL222R510B"
3,Vishay Ametherm,SL10,https://www.ametherm.com/datasheetspdf/SL104R004.pdf,"SL104R004, SL104R004A, SL104R004B"
3,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL224R014.pdf,"SL224R014, SL224R014A, SL224R014B"
3,Vishay Ametherm,SL10,https://www.ametherm.com/datasheetspdf/SL105R004.pdf,"SL105R004, SL105R004A, SL105R004B"
3,Vishay Ametherm,SL12,https://www.ametherm.com/datasheetspdf/SL125R004.pdf,"SL125R004, SL125R004A, SL125R004B"
3,Vishay Ametherm,SL12,https://www.ametherm.com/datasheetspdf/SL125R005.pdf,"SL125R005, SL125R005A, SL125R005B"
3,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL155R007.pdf,"SL155R007, SL155R007A, SL155R007B"
3,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL155R009.pdf,"SL155R009, SL155R00903A, SL155R00903B"
3,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL225R006.pdf,"SL225R006, SL225R006A, SL225R006B"
3,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL225R012.pdf,"SL225R012, SL225R012A, SL225R012AT"
3,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL227R010.pdf,"SL227R010, SL227R010A, SL227R010B"
3,TDK,S153,https://product.tdk.cn/system/files/dam/doc/product/protection/current/ntc-limiter/data_sheet/50/db/icl_16/s153.pdf,"B57153S0809M054, B57153S0160M054, B57153S0200M054"
3,Vishay Ametherm,SL12,https://www.ametherm.com/datasheetspdf/SL128R003.pdf,"SL128R003, SL128R003A, SL128R003B"
3,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS2210008.pdf,"MS2210008, MS2210008A, MS2210008B"
3,Vishay Ametherm,SL12,https://www.ametherm.com/datasheetspdf/SL1210004.pdf,"SL1210004, SL1210004A, SL1210004B"
3,Vishay Ametherm,SL12,https://www.ametherm.com/datasheetspdf/SL1210005.pdf,"SL1210005, SL1210005A, SL1210005B"
3,Vishay Ametherm,SL12,https://www.ametherm.com/datasheetspdf/SL1210006.pdf,"SL1210006, SL1210006A, SL1210006B"
3,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL2210005.pdf,"SL2210005, SL2210005A, SL2210005B"
3,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL2210007.pdf,"SL2210007, SL2210007A, SL2210007B"
3,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL2210009.pdf,"SL2210009, SL2210009A, SL2210009B"
3,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL2214005.pdf,"SL2214005, SL2214005A, SL2214005B"
3,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL2214007.pdf,"SL2214007, SL2214007A, SL2214007B"
3,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS1515004.pdf,"MS1515004, MS1515004A, MS1515004B"
3,Vishay Ametherm,SL12,https://www.ametherm.com/datasheetspdf/SL1215004.pdf,"SL1215004, SL1215004A, SL1215004B"
3,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS2220005.pdf,"MS2220005, MS2220005A, MS2220005B"
3,Vishay Ametherm,SL12,https://www.ametherm.com/datasheetspdf/SL1220003.pdf,"SL1220003, SL1220003A, SL1220003B"
3,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL2220005.pdf,"SL2220005, SL2220005A, SL2220005B"
3,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL2220007.pdf,"SL2220007, SL2220007A, SL2220007B"
3,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS1530004.pdf,"MS1530004, MS1530004A, MS1530004B"
3,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS2230005.pdf,"MS2230005, MS2230005A, MS2230005B"
3,Vishay Ametherm,SL18,https://www.ametherm.com/datasheetspdf/SL1830006.pdf,"SL1830006, SL1830006A, SL1830006B"
3,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS1540004.pdf,"MS1540004, MS1540004A, MS1540004B"
3,Vishay Ametherm,SL10,https://www.ametherm.com/datasheetspdf/SL1040002.pdf,"SL1040002, SL1040002A, SL1040002B"
3,Vishay Ametherm,SL12,https://www.ametherm.com/datasheetspdf/SL1240002.pdf,"SL1240002, SL1240002A, SL1240002B"
3,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL1540004.pdf,"SL1540004, SL1540004A, SL1540004B"
3,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL2240005.pdf,"SL2240005, SL2240005A, SL2240005B"
3,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS2250004.pdf,"MS2250004, MS2250004A, MS2250004B"
3,Vishay Ametherm,SL10,https://www.ametherm.com/datasheetspdf/SL1050002.pdf,"SL1050002, SL1050002A, SL1050002B"
3,Vishay Ametherm,SL12,https://www.ametherm.com/datasheetspdf/SL1250002.pdf,"SL1250002, SL1250002A, SL1250002B"
3,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL1560002.pdf,"SL1560002, SL1560002A, SL1560002B"
