parts_unblocked,manufacturer,series,datasheet_url,example_parts
3,Shenzhen Ruilongyuan Electronics Co.Ltd,KOV14D-T,https://www.ruilon.com.cn/Uploads/pdf/kov14d-t%20series_a2.pdf,"KOV14D-300T, KOV14D-320T, KOV14D-350T"
3,TDK,Superior MP,https://www.tdk-electronics.tdk.com/inf/70/db/var/SIOV_Leaded_SuperioR_MP_S20.pdf,"B72220P3301K101, B72220P3321K101, B72220P3351K101"
3,Shenzhen Ruilongyuan Electronics Co.Ltd,KOV20D-Tb,https://www.ruilon.com.cn/Uploads/pdf/kov20d-tb%20series_a3.pdf,"KOV20D-300Tb, KOV20D-320Tb, KOV20D-350Tb"
3,Shenzhen Ruilongyuan Electronics Co.Ltd,KOV20D-T,https://www.ruilon.com.cn/Uploads/pdf/kov20d-t%20series_a2.pdf,"KOV20D-300T, KOV20D-320T, KOV20D-350T"
3,Shenzhen Ruilongyuan Electronics Co.Ltd,KOV25D-Tb,https://www.ruilon.com.cn/Uploads/pdf/kov25d-tb%20series_a0.pdf,"KOV25D-300Tb, KOV25D-320Tb, KOV25D-350Tb"
3,Shenzhen Ruilongyuan Electronics Co.Ltd,KOV25D-T,https://www.ruilon.com.cn/Uploads/pdf/kov25d-t%20series_a0.pdf,"KOV25D-300T, KOV25D-320T, KOV25D-350T"
3,YAGEO,25D,https://yageogroup.com/content/datasheet/asset/file/25D_1,"471KD25, 511KD25, 561KD25"
3,YAGEO,25D,https://yageogroup.com/content/Resource%20Library/Datasheet/25D_1.pdf,"471KD25-P12.5, 511KD25-P12.5, 561KD25-P12.5"
3,Littelfuse Inc.,UltraMOV™ 25S,https://www.littelfuse.com/assetdocs/littelfuse-varistor-ultramov25s-datasheet?assetguid=af1f227f-82cf-4cd4-8ee1-09ee9d672ac0,"V25S300P, V25S320P, V25S320PX1347"
3,YAGEO,34S,https://www.yageo.com/upload/media/product/app/datasheet/cpc/mov/34s.pdf,"471KS34, 511KS34, 561KS34"
3,YAGEO,53D,https://www.yageo.com/upload/media/product/app/datasheet/cpc/mov/53d.pdf,"471KD53, 511KD53, 561KD53"
3,TDK,AdvanceD; StandarD; Superior MP,https://product.tdk.com/info/en/catalog/datasheets/70/db/var/SIOV_SNF_Automotive.pdf,"B72210S2321K161, B72220P3321K503, B72214S0351K103"
